Height (mm);Total slice surface (mm²)
61.86;9758.690
61.98;9713.784
62.10;9670.888
62.22;9638.035
62.34;9600.007
62.46;9559.248
62.58;9518.182
62.70;9477.303
62.82;9436.233
62.94;9391.972
63.06;9347.359
63.18;9303.356
63.30;9258.762
63.42;9213.617
63.54;9167.618
63.66;9118.993
63.78;9065.761
63.90;9001.160
64.02;8934.535
64.14;8900.505
64.26;8858.712
64.38;8815.828
64.50;8777.289
64.62;8733.318
64.74;8687.624
64.86;8640.513
64.98;8591.475
65.10;8540.226
65.22;8475.350
65.34;8403.826
65.46;8331.276
65.58;8255.785
65.70;8179.746
65.82;8102.965
65.94;8025.246
66.06;7945.078
66.18;7855.791
66.30;7793.078
66.42;7732.640
66.54;7672.471
66.66;7612.835
66.78;7552.348
66.90;7490.633
67.02;7428.599
67.14;7366.286
67.26;7303.776
67.38;7240.891
67.50;7173.644
67.62;7105.439
67.74;7036.633
67.86;6966.225
67.98;6893.171
68.10;6814.679
68.22;6732.385
68.34;6671.222
68.46;6611.244
68.58;6553.265
68.70;6496.746
68.82;6441.881
68.94;6389.010
69.06;6338.756
69.18;6289.818
69.30;6241.651
69.42;6195.139
69.54;6150.414
69.66;6107.647
69.78;6067.127
69.90;6029.706
70.02;6004.308
70.14;5990.875
70.26;5976.842
70.38;5962.243
70.50;5946.794
70.62;5930.487
70.74;5913.303
70.86;5894.532
70.98;5874.647
71.10;5854.229
71.22;5833.343
71.34;5812.040
71.46;5789.106
71.58;5765.845
71.70;5744.174
71.82;5724.424
71.94;5707.971
72.06;5697.511
72.18;5706.711
72.30;5678.369
72.42;5650.130
72.54;5622.117
72.66;5594.354
72.78;5566.067
72.90;5537.510
73.02;5508.864
73.14;5479.924
73.26;5450.485
73.38;5420.169
73.50;5389.590
73.62;5362.353
73.74;5335.508
73.86;5308.457
73.98;5281.623
74.10;5254.596
74.22;5227.797
74.34;5200.780
74.46;5173.897
74.58;5143.756
74.70;5112.886
74.82;5082.321
74.94;5051.606
75.06;5020.981
75.18;4991.083
75.30;4954.250
75.42;4913.959
75.54;4876.872
75.66;4840.683
75.78;4805.660
75.90;4772.644
76.02;4743.826
76.14;4731.938
76.26;4696.007
76.38;4642.297
76.50;4587.030
76.62;4530.872
76.74;4474.617
76.86;4418.249
76.98;4361.703
77.10;4305.078
77.22;4247.802
77.34;4188.530
77.46;4121.977
77.58;4055.507
77.70;3988.931
77.82;3920.390
77.94;3848.958
78.06;3264.599
78.18;3191.919
78.30;3118.358
78.42;3045.438
78.54;2976.277
78.66;2909.459
78.78;2839.371
78.90;2769.509
79.02;2700.567
79.14;2632.724
79.26;2566.144
79.38;2505.527
79.50;2449.641
79.62;2394.117
79.74;2338.910
79.86;2276.206
79.98;2209.910
80.10;2145.126
80.22;2082.046
80.34;2020.707
80.46;1961.890
80.58;1904.317
80.70;1847.704
80.82;1792.045
80.94;1737.542
81.06;1686.649
81.18;1640.444
81.30;1601.700
81.42;1564.063
81.54;1532.702
81.66;1510.076
81.78;1487.653
81.90;1465.482
82.02;1443.666
82.14;1422.200
82.26;1400.876
82.38;1380.386
82.50;1364.272
82.62;1351.513
82.74;1338.358
82.86;1324.953
82.98;1311.304
83.10;1297.254
83.22;1286.636
83.34;1276.614
83.46;1266.030
83.58;1254.487
83.70;1233.168
83.82;1211.691
83.94;1189.969
84.06;1168.219
84.18;1146.105
84.30;1123.812
84.42;1101.237
84.54;1078.200
84.66;1054.841
84.78;1030.757
84.90;1005.975
85.02;980.226
85.14;952.632
85.26;922.242
85.38;874.620
85.50;248.131
85.62;218.646
85.74;189.737
85.86;161.491
85.98;134.010
86.10;109.167
86.22;92.723
86.34;76.621
86.46;60.884
86.58;45.562
86.70;30.717
86.82;16.457
86.94;3.013
87.06;0.000
87.18;0.000
87.30;0.000
87.42;0.000
87.54;0.000
87.66;0.000
87.78;0.000
87.90;0.000
88.02;0.000
88.14;0.000
88.26;0.000
88.38;0.000
88.50;0.000
88.62;0.000
88.74;0.000
88.86;0.000
88.98;0.000
89.10;0.000
89.22;0.000
89.34;0.000
89.46;0.000
89.58;0.000
89.70;0.000
89.82;0.000
89.94;0.000
90.06;0.000
90.18;0.000
90.30;0.000
90.42;0.000
90.54;0.000
90.66;0.000
90.78;0.000
90.90;0.000
91.02;0.000
91.14;0.000
91.26;0.000
91.38;0.000
91.50;0.000
91.62;0.000
91.74;0.000
91.86;0.000
91.98;0.000
92.10;0.000
92.22;0.000
92.34;0.000
92.46;0.000
92.58;0.000
92.70;0.000
92.82;0.000
92.94;0.000
93.06;0.000
93.18;0.000
93.30;0.000
93.42;0.000
93.54;0.000
93.66;0.000
93.78;0.000
93.90;0.000
94.02;0.000
94.14;0.000
94.26;0.000
94.38;0.000
94.50;0.000
94.62;0.000
94.74;0.000
94.86;0.000
94.98;0.000
95.10;0.000
95.22;0.000
95.34;0.000
95.46;0.000
95.58;0.000
95.70;0.000
95.82;0.000
95.94;0.000
96.06;0.000
96.18;0.000
96.30;0.000
96.42;0.000
96.54;0.000
96.66;0.000
96.78;0.000
96.90;0.000
97.02;0.000
97.14;0.000
97.26;0.000
97.38;0.000
97.50;0.000
97.62;0.000
97.74;0.000
97.86;0.000
97.98;0.000
98.10;0.000
98.22;0.000
98.34;0.000
98.46;0.000
98.58;0.000
98.70;0.000
98.82;0.000
98.94;0.000
99.06;0.000
99.18;0.000
99.30;0.000
99.42;0.000
99.54;0.000
99.66;0.000
99.78;0.000
99.90;0.000
100.02;0.000
100.14;0.000
100.26;0.000
100.38;0.000
100.50;0.000
100.62;0.000
100.74;0.000
100.86;0.000
100.98;0.000
101.10;0.000
101.22;0.000
101.34;0.000
101.46;0.000
101.58;0.000
101.70;0.000
101.82;0.000
101.94;0.000
102.06;0.000
102.18;0.000
102.30;0.000
102.42;0.000
102.54;0.000
102.66;0.000
102.78;0.000
102.90;0.000
103.02;0.000
103.14;0.000
103.26;0.000
103.38;0.000
103.50;0.000
103.62;0.000
103.74;0.000
103.86;0.000
103.98;0.000
104.10;0.000
104.22;0.000
104.34;0.000
104.46;0.000
104.58;0.000
104.70;0.000
104.82;0.000
104.94;0.000
105.06;0.000
105.18;0.000
105.30;0.000
105.42;0.000
105.54;0.000
105.66;0.000
105.78;0.000
105.90;0.000
106.02;0.000
106.14;0.000
106.26;0.000
106.38;0.000
106.50;0.000
106.62;0.000
106.74;0.000
106.86;0.000
106.98;0.000
107.10;0.000
107.22;0.000
107.34;0.000
107.46;0.000
107.58;0.000
107.70;0.000
107.82;0.000
107.94;0.000
108.06;0.000
108.18;0.000
108.30;0.000
108.42;0.000
108.54;0.000
108.66;0.000
108.78;0.000
108.90;0.000
109.02;0.000
109.14;0.000
109.26;0.000
109.38;0.000
109.50;0.000
109.62;0.000
109.74;0.000
109.86;0.000
109.98;0.000
110.10;0.000
110.22;0.000
110.34;0.000
110.46;0.000
110.58;0.000
110.70;0.000
110.82;0.000
110.94;0.000
111.06;0.000
111.18;0.000
111.30;0.000
111.42;0.000
111.54;0.000
111.66;0.000
111.78;0.000
111.90;0.000
112.02;0.000
112.14;0.000
112.26;0.000
112.38;0.000
112.50;0.000
112.62;0.000
112.74;0.000
112.86;0.000
112.98;0.000
113.10;0.000
113.22;0.000
113.34;0.000
113.46;0.000
113.58;0.000
113.70;0.000
113.82;0.000
113.94;0.000
114.06;0.000
114.18;0.000
114.30;0.000
114.42;0.000
114.54;14.605
114.66;43.563
114.78;73.268
114.90;103.536
115.02;134.273
115.14;165.425
115.26;196.946
115.38;228.795
115.50;274.592
115.62;323.974
115.74;374.040
115.86;403.897
115.98;425.911
116.10;626.986
116.22;659.092
116.34;699.846
116.46;743.351
116.58;786.332
116.70;829.075
116.82;871.719
116.94;914.220
117.06;956.774
117.18;999.226
117.30;1041.759
117.42;1084.319
117.54;1126.863
117.66;1169.532
117.78;1212.212
117.90;1254.924
118.02;1281.375
118.14;1307.216
118.26;1332.747
118.38;1358.061
118.50;1383.176
118.62;1408.073
118.74;1433.114
118.86;1458.644
118.98;1484.311
119.10;1679.194
119.22;1692.128
119.34;1702.558
119.46;1712.636
119.58;1722.509
119.70;1732.221
119.82;1741.744
119.94;1751.084
120.06;1760.338
120.18;1769.467
120.30;1778.486
120.42;1798.595
120.54;1822.534
120.66;1847.369
120.78;1873.087
120.90;1899.539
121.02;1926.558
121.14;1954.085
121.26;1982.023
121.38;2010.331
121.50;2039.640
121.62;2078.673
121.74;2135.471
121.86;2194.124
121.98;2254.271
122.10;2315.662
122.22;2378.248
122.34;2441.993
122.46;2507.913
122.58;2580.862
122.70;2654.828
122.82;2729.773
122.94;2805.663
123.06;2887.903
123.18;2972.732
123.30;3058.068
123.42;3144.216
123.54;3231.382
123.66;3319.390
123.78;3395.081
123.90;3465.690
124.02;3538.270
124.14;3614.672
124.26;3679.461
124.38;3742.333
124.50;3807.204
124.62;3871.423
124.74;3935.231
124.86;3998.823
124.98;4062.255
125.10;4125.592
125.22;4188.475
125.34;4254.986
125.46;4320.992
125.58;4386.743
125.70;4452.306
125.82;4517.715
125.94;4583.000
126.06;4648.153
126.18;4713.566
126.30;4778.236
126.42;4841.993
126.54;4904.465
126.66;4965.618
126.78;5026.758
126.90;5087.280
127.02;5146.148
127.14;5201.860
127.26;5250.577
127.38;5298.378
127.50;5345.548
127.62;5392.332
127.74;5438.534
127.86;5484.095
127.98;5529.203
128.10;5573.881
128.22;5618.161
128.34;5661.904
128.46;5700.340
128.58;5738.330
128.70;5747.437
128.82;5769.243
128.94;5800.599
129.06;5854.611
129.18;5911.045
129.30;5968.892
129.42;6027.769
129.54;6086.446
129.66;6144.912
129.78;6203.365
129.90;6261.815
130.02;6319.986
130.14;6388.805
130.26;6458.772
130.38;6527.668
130.50;6592.577
130.62;6653.076
130.74;6713.045
130.86;6774.252
130.98;6836.050
131.10;6898.774
131.22;6962.019
131.34;7025.491
131.46;7088.350
131.58;7168.253
131.70;7260.668
131.82;7353.654
131.94;7446.609
132.06;7538.547
132.18;7626.937
132.30;7702.083
132.42;7801.650
132.54;7899.545
132.66;7997.926
132.78;8095.623
132.90;8192.891
133.02;8290.395
133.14;8387.766
133.26;8485.309
133.38;8583.694
133.50;8683.483
133.62;8776.357
133.74;8842.009
133.86;8908.300
133.98;8975.002
134.10;9041.948
134.22;9108.689
134.34;9174.854
134.46;9238.065
134.58;9298.398
134.70;9358.093
134.82;9418.204
134.94;9478.246
135.06;9538.005
135.18;9596.877
135.30;9655.006
135.42;9710.014
135.54;9765.662
135.66;9821.848
135.78;9878.849
135.90;9936.292
136.02;9994.241
136.14;10052.873
136.26;10117.391
136.38;10172.082
136.50;10206.464
136.62;10240.318
136.74;10275.236
136.86;10311.432
136.98;10349.214
137.10;10388.083
137.22;10429.003
137.34;10471.652
137.46;10514.950
137.58;10558.779
137.70;10603.408
137.82;10650.608
137.94;10699.338
138.06;10749.388
138.18;10800.625
138.30;10852.693
138.42;10909.686
138.54;10966.320
138.66;11019.458
138.78;11069.654
138.90;11119.456
139.02;11158.334
139.14;11181.856
139.26;11197.645
139.38;11216.312
139.50;11234.146
139.62;11250.423
139.74;11284.309
139.86;11318.944
139.98;11376.018
140.10;11436.591
140.22;11495.822
140.34;11551.926
140.46;11606.747
140.58;11663.513
140.70;11720.490
140.82;11769.155
140.94;11805.934
141.06;11846.954
141.18;11888.711
141.30;11924.568
141.42;11950.544
141.54;11972.598
141.66;11989.421
141.78;11994.493
141.90;11982.039
142.02;12006.070
142.14;12031.206
142.26;12063.032
142.38;12099.504
142.50;12135.759
142.62;12170.553
142.74;12194.073
142.86;12211.510
